127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001004
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001130
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000564
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003730
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.006766
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000671
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000407
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000371
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002298
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000324
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000418
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001659
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000900
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001222
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000528
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000566
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/js/ajax_editor.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/js/typeahead.min.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002970
127.0.0.1, 2015-03-31 17:41:39, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000698
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/static/_2.9.12/images/files_toggle.png, HTTP/1.1, 200, 0.000476
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/static/_2.9.12/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000414
127.0.0.1, 2015-03-31 17:41:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/default/edit/Assignment/views/default/index.html, HTTP/1.1, 200, 0.054274
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.078240
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.140899
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.002204
127.0.0.1, 2015-03-31 17:41:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154127
127.0.0.1, 2015-03-31 17:41:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.252894
127.0.0.1, 2015-03-31 17:41:40, GET, /Assignment/appadmin/hooks, HTTP/1.1, 200, 0.323640
127.0.0.1, 2015-03-31 17:41:42, GET, /admin/default/design/Assignment, HTTP/1.1, 200, 0.081000
127.0.0.1, 2015-03-31 17:41:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
